Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6251033009,DOWNEY,24.0,7.0,0.21628411427,12.6,6251033009,33.94844026,-118.1321948
6251034011,DOWNEY,24.0,3.0,0.10876795961,5.4,6251034011,33.94762747,-118.1315454
6251034022,DOWNEY,24.0,4.0,0.11404583334,7.2,6251034022,33.94784412,-118.1315043
6251035006,DOWNEY,24.0,5.0,0.15826782509,9.0,6251035006,33.94727475,-118.1318345
6251035007,DOWNEY,24.0,4.0,0.12561992949,7.2,6251035007,33.9473604,-118.1319902
6251035009,DOWNEY,24.0,4.0,0.12624506498,7.2,6251035009,33.94750412,-118.1322715
6251035010,DOWNEY,24.0,4.0,0.12596304128,7.2,6251035010,33.94757637,-118.1324119
6252019003,DOWNEY,24.0,6.0,0.19606584204,10.8,6252019003,33.94786835,-118.1278266
6252021018,DOWNEY,24.0,5.0,0.17181154241,9.0,6252021018,33.95147276,-118.1281786
6252022008,DOWNEY,24.0,5.0,0.16979770787,9.0,6252022008,33.95017806,-118.1291215
6252025002,DOWNEY,24.0,2.0,0.05506859921,3.6,6252025002,33.9466658,-118.1297785
6252025017,DOWNEY,24.0,7.0,0.20719337277,12.6,6252025017,33.94710938,-118.1298882
6252026002,DOWNEY,24.0,4.0,0.13066862745,7.2,6252026002,33.94721007,-118.1305552
6253001029,DOWNEY,24.0,6.0,0.18613125614,10.8,6253001029,33.94619873,-118.1299406
6253002002,DOWNEY,24.0,4.0,0.12411951158,7.2,6253002002,33.94612299,-118.1312982
6253002010,DOWNEY,24.0,4.0,0.12300605164,7.2,6253002010,33.94715585,-118.1314253
6253013006,DOWNEY,24.0,6.0,0.18003034671,10.8,6253013006,33.94734499,-118.1282782
6253013007,DOWNEY,24.0,5.0,0.16688503634,9.0,6253013007,33.94721064,-118.1283772
6253013009,DOWNEY,24.0,5.0,0.16653980549,9.0,6253013009,33.94695209,-118.1285654
6253013010,DOWNEY,24.0,5.0,0.17053200258,9.0,6253013010,33.94682143,-118.1286604
6245019026,DOWNEY,24.0,4.0,0.13801951128,7.2,6245019026,33.92564918,-118.1522066
6246012004,DOWNEY,24.0,4.0,0.13461499535,7.2,6246012004,33.93709536,-118.148655
6246012032,DOWNEY,24.0,4.0,0.13349293157,7.2,6246012032,33.93744641,-118.149682
6263033019,DOWNEY,24.0,4.0,0.11320258904,7.2,6263033019,33.91462333,-118.1506188
6251017001,DOWNEY,24.0,8.0,0.24276643357,14.4,6251017001,33.94408286,-118.1388896
6251018004,DOWNEY,24.0,5.0,0.15386142534,9.0,6251018004,33.94389737,-118.1385217
6252023015,DOWNEY,24.0,4.0,0.12009021152,7.2,6252023015,33.94913476,-118.1299804
6252023016,DOWNEY,24.0,4.0,0.11522929982,7.2,6252023016,33.949269,-118.129884
6252025001,DOWNEY,24.0,4.0,0.12992976802,7.2,6252025001,33.94656937,-118.1295896
6252026013,DOWNEY,24.0,5.0,0.15677431599,9.0,6252026013,33.94839705,-118.1303907
6252026022,DOWNEY,24.0,4.0,0.1137353802,7.2,6252026022,33.94749239,-118.1312591
6253003008,DOWNEY,24.0,4.0,0.13769664716,7.2,6253003008,33.94586606,-118.1320548
6253004014,DOWNEY,24.0,4.0,0.13853599389,7.2,6253004014,33.94493519,-118.1315624
6253007026,DOWNEY,24.0,6.0,0.17286716291,10.8,6253007026,33.94300576,-118.1276191
6253007032,DOWNEY,24.0,6.0,0.17245652921,10.8,6253007032,33.94293164,-118.1274725
6253012002,DOWNEY,24.0,4.0,0.13979649622,7.2,6253012002,33.94589252,-118.1293739
6251034013,DOWNEY,24.0,4.0,0.12432831147,7.2,6251034013,33.94770258,-118.1316919
6252022001,DOWNEY,24.0,5.0,0.16583386259,9.0,6252022001,33.95135175,-118.1282572
6252023017,DOWNEY,24.0,4.0,0.12132910594,7.2,6252023017,33.94941964,-118.1297949
6252026004,DOWNEY,24.0,4.0,0.13130884554,7.2,6252026004,33.94732755,-118.1304696
6253001007,DOWNEY,24.0,6.0,0.18507967342,10.8,6253001007,33.94633857,-118.1298348
6253003002,DOWNEY,24.0,4.0,0.12754350494,7.2,6253003002,33.94504611,-118.1321008
6253004005,DOWNEY,24.0,7.0,0.20669528319,12.6,6253004005,33.94479946,-118.130922
6253004006,DOWNEY,24.0,7.0,0.20689162638,12.6,6253004006,33.9449405,-118.1308198
6253004015,DOWNEY,24.0,2.0,0.06823145763,3.6,6253004015,33.94482708,-118.1313516
6253004018,DOWNEY,24.0,5.0,0.16630839112,9.0,6253004018,33.94467164,-118.1317346
6253006037,DOWNEY,24.0,6.0,0.17747054255,10.8,6253006037,33.94364996,-118.1289261
6253006039,DOWNEY,24.0,7.0,0.21278931772,12.6,6253006039,33.94384379,-118.1295114
6253007030,DOWNEY,24.0,4.0,0.13761255788,7.2,6253007030,33.94249573,-118.1266069
6253007034,DOWNEY,24.0,6.0,0.17294470789,10.8,6253007034,33.94270931,-118.1270329
6253012001,DOWNEY,24.0,5.0,0.15990452943,9.0,6253012001,33.9460295,-118.1292704
6251016004,DOWNEY,24.0,3.0,0.10086688204,5.4,6251016004,33.94528025,-118.1410336
6251016015,DOWNEY,24.0,9.0,0.29185538874,16.2,6251016015,33.94504141,-118.1406932
6251017003,DOWNEY,24.0,5.0,0.15505619839,9.0,6251017003,33.94424268,-118.1391948
6251033015,DOWNEY,24.0,7.0,0.21559207241,12.6,6251033015,33.94813227,-118.1324252
6251033031,DOWNEY,24.0,5.0,0.14579639358,9.0,6251033031,33.9482233,-118.1325925
6251036007,DOWNEY,24.0,4.0,0.12410713669,7.2,6251036007,33.94542415,-118.1332342
6251036034,DOWNEY,24.0,3.0,0.08949584884,5.4,6251036034,33.94553927,-118.1331493
6252021019,DOWNEY,24.0,5.0,0.17180260042,9.0,6252021019,33.95159038,-118.1280935
